UTC,Lokalzeit,Lufttemperatur
2021-12-12 00:00:00,2021-12-12 01:00:00,2.620369
2021-12-12 01:00:00,2021-12-12 02:00:00,2.303694
2021-12-12 02:00:00,2021-12-12 03:00:00,1.868576
2021-12-12 03:00:00,2021-12-12 04:00:00,1.263733
2021-12-12 04:00:00,2021-12-12 05:00:00,0.9220652
2021-12-12 05:00:00,2021-12-12 06:00:00,0.625207
2021-12-12 06:00:00,2021-12-12 07:00:00,0.3148167
2021-12-12 07:00:00,2021-12-12 08:00:00,0.2130708
2021-12-12 08:00:00,2021-12-12 09:00:00,0.5021042
2021-12-12 09:00:00,2021-12-12 10:00:00,1.112971
2021-12-12 10:00:00,2021-12-12 11:00:00,2.111103
2021-12-12 11:00:00,2021-12-12 12:00:00,3.296493
2021-12-12 12:00:00,2021-12-12 13:00:00,3.780614
2021-12-12 13:00:00,2021-12-12 14:00:00,4.905004
2021-12-12 14:00:00,2021-12-12 15:00:00,5.751591
2021-12-12 15:00:00,2021-12-12 16:00:00,5.922527
2021-12-12 16:00:00,2021-12-12 17:00:00,5.780716
2021-12-12 17:00:00,2021-12-12 18:00:00,5.315824
2021-12-12 18:00:00,2021-12-12 19:00:00,4.889657
2021-12-12 19:00:00,2021-12-12 20:00:00,4.555451
2021-12-12 20:00:00,2021-12-12 21:00:00,4.524875
2021-12-12 21:00:00,2021-12-12 22:00:00,4.60724
2021-12-12 22:00:00,2021-12-12 23:00:00,4.616951
2021-12-12 23:00:00,2021-12-13 00:00:00,4.793294
2021-12-13 00:00:00,2021-12-13 01:00:00,4.920958
2021-12-13 01:00:00,2021-12-13 02:00:00,5.210452
2021-12-13 02:00:00,2021-12-13 03:00:00,5.111493
2021-12-13 03:00:00,2021-12-13 04:00:00,4.683444
2021-12-13 04:00:00,2021-12-13 05:00:00,3.789137
2021-12-13 05:00:00,2021-12-13 06:00:00,3.350054
2021-12-13 06:00:00,2021-12-13 07:00:00,3.024318
2021-12-13 07:00:00,2021-12-13 08:00:00,2.683729
2021-12-13 08:00:00,2021-12-13 09:00:00,2.923671
2021-12-13 09:00:00,2021-12-13 10:00:00,2.924943
2021-12-13 10:00:00,2021-12-13 11:00:00,3.943239
2021-12-13 11:00:00,2021-12-13 12:00:00,5.793627
2021-12-13 12:00:00,2021-12-13 13:00:00,8.430618
2021-12-13 13:00:00,2021-12-13 14:00:00,9.846099
2021-12-13 14:00:00,2021-12-13 15:00:00,9.891508
2021-12-13 15:00:00,2021-12-13 16:00:00,8.406984
2021-12-13 16:00:00,2021-12-13 17:00:00,7.235691
2021-12-13 17:00:00,2021-12-13 18:00:00,5.736312
2021-12-13 18:00:00,2021-12-13 19:00:00,4.959928
2021-12-13 19:00:00,2021-12-13 20:00:00,4.289629
2021-12-13 20:00:00,2021-12-13 21:00:00,3.657797
2021-12-13 21:00:00,2021-12-13 22:00:00,3.175737
2021-12-13 22:00:00,2021-12-13 23:00:00,2.835404
2021-12-13 23:00:00,2021-12-14 00:00:00,2.977258
2021-12-14 00:00:00,2021-12-14 01:00:00,2.534303
2021-12-14 01:00:00,2021-12-14 02:00:00,2.145208
2021-12-14 02:00:00,2021-12-14 03:00:00,2.239158
2021-12-14 03:00:00,2021-12-14 04:00:00,1.687944
2021-12-14 04:00:00,2021-12-14 05:00:00,1.531975
2021-12-14 05:00:00,2021-12-14 06:00:00,1.234
2021-12-14 06:00:00,2021-12-14 07:00:00,1.649405
2021-12-14 07:00:00,2021-12-14 08:00:00,2.063154
2021-12-14 08:00:00,2021-12-14 09:00:00,2.225342
2021-12-14 09:00:00,2021-12-14 10:00:00,2.559954
2021-12-14 10:00:00,2021-12-14 11:00:00,3.13448
2021-12-14 11:00:00,2021-12-14 12:00:00,4.565532
2021-12-14 12:00:00,2021-12-14 13:00:00,4.027928
2021-12-14 13:00:00,2021-12-14 14:00:00,4.324934
2021-12-14 14:00:00,2021-12-14 15:00:00,4.485476
2021-12-14 15:00:00,2021-12-14 16:00:00,4.697997
2021-12-14 16:00:00,2021-12-14 17:00:00,4.618997
2021-12-14 17:00:00,2021-12-14 18:00:00,4.367371
2021-12-14 18:00:00,2021-12-14 19:00:00,3.989928
2021-12-14 19:00:00,2021-12-14 20:00:00,3.45917
2021-12-14 20:00:00,2021-12-14 21:00:00,3.1696
2021-12-14 21:00:00,2021-12-14 22:00:00,2.988919
2021-12-14 22:00:00,2021-12-14 23:00:00,3.203249
2021-12-14 23:00:00,2021-12-15 00:00:00,3.355405
2021-12-15 00:00:00,2021-12-15 01:00:00,3.413678
2021-12-15 01:00:00,2021-12-15 02:00:00,3.272234
2021-12-15 02:00:00,2021-12-15 03:00:00,3.272382
2021-12-15 03:00:00,2021-12-15 04:00:00,3.153969
2021-12-15 04:00:00,2021-12-15 05:00:00,3.236757
2021-12-15 05:00:00,2021-12-15 06:00:00,3.357379
2021-12-15 06:00:00,2021-12-15 07:00:00,3.431352
2021-12-15 07:00:00,2021-12-15 08:00:00,3.437766
2021-12-15 08:00:00,2021-12-15 09:00:00,3.297994
2021-12-15 09:00:00,2021-12-15 10:00:00,3.210137
2021-12-15 10:00:00,2021-12-15 11:00:00,3.553482
2021-12-15 11:00:00,2021-12-15 12:00:00,3.910635
2021-12-15 12:00:00,2021-12-15 13:00:00,4.063314
2021-12-15 13:00:00,2021-12-15 14:00:00,4.289742
2021-12-15 14:00:00,2021-12-15 15:00:00,4.38196
2021-12-15 15:00:00,2021-12-15 16:00:00,4.428482
2021-12-15 16:00:00,2021-12-15 17:00:00,4.506679
