id,dttm,temp,lux,battery,attached,detached,host,stopped,eof
1,11/12/2021 01:00:00,3.893,0,NA,NA,NA,NA,NA,NA
2,11/12/2021 01:10:00,3.893,0,NA,NA,NA,NA,NA,NA
3,11/12/2021 01:20:00,3.893,0,NA,NA,NA,NA,NA,NA
4,11/12/2021 01:30:00,3.893,0,NA,NA,NA,NA,NA,NA
5,11/12/2021 01:40:00,3.893,0,NA,NA,NA,NA,NA,NA
6,11/12/2021 01:50:00,3.788,0,NA,NA,NA,NA,NA,NA
7,11/12/2021 02:00:00,3.788,0,NA,NA,NA,NA,NA,NA
8,11/12/2021 02:10:00,3.788,0,NA,NA,NA,NA,NA,NA
9,11/12/2021 02:20:00,3.893,0,NA,NA,NA,NA,NA,NA
10,11/12/2021 02:30:00,3.893,0,NA,NA,NA,NA,NA,NA
11,11/12/2021 02:40:00,3.893,0,NA,NA,NA,NA,NA,NA
12,11/12/2021 02:50:00,3.893,0,NA,NA,NA,NA,NA,NA
13,11/12/2021 03:00:00,3.893,0,NA,NA,NA,NA,NA,NA
14,11/12/2021 03:10:00,3.893,0,NA,NA,NA,NA,NA,NA
15,11/12/2021 03:20:00,3.893,0,NA,NA,NA,NA,NA,NA
16,11/12/2021 03:30:00,3.788,0,NA,NA,NA,NA,NA,NA
17,11/12/2021 03:40:00,3.893,0,NA,NA,NA,NA,NA,NA
18,11/12/2021 03:50:00,3.788,0,NA,NA,NA,NA,NA,NA
19,11/12/2021 04:00:00,3.788,0,NA,NA,NA,NA,NA,NA
20,11/12/2021 04:10:00,3.788,0,NA,NA,NA,NA,NA,NA
21,11/12/2021 04:20:00,3.788,0,NA,NA,NA,NA,NA,NA
22,11/12/2021 04:30:00,3.788,0,NA,NA,NA,NA,NA,NA
23,11/12/2021 04:40:00,3.683,0,NA,NA,NA,NA,NA,NA
24,11/12/2021 04:50:00,3.578,0,NA,NA,NA,NA,NA,NA
25,11/12/2021 05:00:00,3.578,0,NA,NA,NA,NA,NA,NA
26,11/12/2021 05:10:00,3.472,0,NA,NA,NA,NA,NA,NA
27,11/12/2021 05:20:00,3.367,0,NA,NA,NA,NA,NA,NA
28,11/12/2021 05:30:00,3.261,0,NA,NA,NA,NA,NA,NA
29,11/12/2021 05:40:00,3.261,0,NA,NA,NA,NA,NA,NA
30,11/12/2021 05:50:00,3.155,0,NA,NA,NA,NA,NA,NA
31,11/12/2021 06:00:00,3.049,0,NA,NA,NA,NA,NA,NA
32,11/12/2021 06:10:00,3.049,0,NA,NA,NA,NA,NA,NA
33,11/12/2021 06:20:00,2.943,0,NA,NA,NA,NA,NA,NA
34,11/12/2021 06:30:00,2.943,0,NA,NA,NA,NA,NA,NA
