dttm,th,origin
2021-12-13T00:00:00Z,4.502,H
2021-12-13T01:00:00Z,4.197230056,R
2021-12-13T02:00:00Z,4.623,H
2021-12-13T03:00:00Z,4.588,H
2021-12-13T04:00:00Z,3.822,H
2021-12-13T05:00:00Z,2.712,H
2021-12-13T06:00:00Z,2.907,H
2021-12-13T07:00:00Z,2.516,H
2021-12-13T08:00:00Z,2.213,H
2021-12-13T09:00:00Z,3.083,H
2021-12-13T10:00:00Z,4.362,H
2021-12-13T11:00:00Z,5.244,H
2021-12-13T12:00:00Z,5.689,H
2021-12-13T13:00:00Z,6.539,H
2021-12-13T14:00:00Z,7.129,H
2021-12-13T15:00:00Z,6.758,H
2021-12-13T16:00:00Z,5.791,H
2021-12-13T17:00:00Z,6.03,H
2021-12-13T18:00:00Z,5.825,H
2021-12-13T19:00:00Z,5.552,H
2021-12-13T20:00:00Z,2.675617558,R
2021-12-13T21:00:00Z,1.975489108,R
2021-12-13T22:00:00Z,5.346,H
2021-12-13T23:00:00Z,5.141,H
2021-12-14T00:00:00Z,4.968,H
2021-12-14T01:00:00Z,4.588,H
2021-12-14T02:00:00Z,4.137,H
2021-12-14T03:00:00Z,3.612,H
2021-12-14T04:00:00Z,2.943,H
2021-12-14T05:00:00Z,2.428,H
2021-12-14T06:00:00Z,1.962,H
2021-12-14T07:00:00Z,1.872,H
2021-12-14T08:00:00Z,2.141,H
2021-12-14T09:00:00Z,2.659,H
2021-12-14T10:00:00Z,3.471,H
2021-12-14T11:00:00Z,4.933,H
2021-12-14T12:00:00Z,5.722,H
2021-12-14T13:00:00Z,6.606,H
2021-12-14T14:00:00Z,5.672,H
2021-12-14T15:00:00Z,4.968,H
2021-12-14T16:00:00Z,4.38,H
2021-12-14T17:00:00Z,3.875,H
2021-12-14T18:00:00Z,3.542,H
2021-12-14T19:00:00Z,3.367,H
2021-12-14T20:00:00Z,3.173,H
2021-12-14T21:00:00Z,2.908,H
2021-12-14T22:00:00Z,2.925,H
2021-12-14T23:00:00Z,2.943,H
2021-12-15T00:00:00Z,3.049,H
2021-12-15T01:00:00Z,3.226,H
2021-12-15T02:00:00Z,3.332,H
2021-12-15T03:00:00Z,3.472,H
2021-12-15T04:00:00Z,3.578,H
2021-12-15T05:00:00Z,2.591602144,R
2021-12-15T06:00:00Z,3.683,H
2021-12-15T07:00:00Z,2.582267098,R
2021-12-15T08:00:00Z,3.788,H
2021-12-15T09:00:00Z,3.928,H
2021-12-15T10:00:00Z,4.241,H
2021-12-15T11:00:00Z,4.813,H
2021-12-15T12:00:00Z,4.968,H
2021-12-15T13:00:00Z,4.934,H
2021-12-15T14:00:00Z,4.831,H
2021-12-15T15:00:00Z,3.609122158,R
2021-12-15T16:00:00Z,4.64,H
2021-12-15T17:00:00Z,4.727,H
2021-12-15T18:00:00Z,3.730477756,R
2021-12-15T19:00:00Z,3.777152986,R
2021-12-15T20:00:00Z,3.655797388,R
2021-12-15T21:00:00Z,3.4971016059999998,R
2021-12-15T22:00:00Z,4.415,H
2021-12-15T23:00:00Z,4.259,H
2021-12-16T00:00:00Z,3.385081054,R
2021-12-16T01:00:00Z,4.033,H
2021-12-16T02:00:00Z,3.875,H
2021-12-16T03:00:00Z,3.753,H
2021-12-16T04:00:00Z,3.578,H
2021-12-16T05:00:00Z,3.261,H
2021-12-16T06:00:00Z,1.853,H
2021-12-16T07:00:00Z,1.764,H
2021-12-16T08:00:00Z,2.195,H
2021-12-16T09:00:00Z,2.659,H
