date_time,th
2021-12-13T00:00:00Z,4.502
2021-12-13T01:00:00Z,NA
2021-12-13T02:00:00Z,4.623
2021-12-13T03:00:00Z,4.588
2021-12-13T04:00:00Z,3.822
2021-12-13T05:00:00Z,2.712
2021-12-13T06:00:00Z,2.907
2021-12-13T07:00:00Z,2.516
2021-12-13T08:00:00Z,2.213
2021-12-13T09:00:00Z,3.083
2021-12-13T10:00:00Z,4.362
2021-12-13T11:00:00Z,5.244
2021-12-13T12:00:00Z,5.689
2021-12-13T13:00:00Z,6.539
2021-12-13T14:00:00Z,7.129
2021-12-13T15:00:00Z,6.758
2021-12-13T16:00:00Z,5.791
2021-12-13T17:00:00Z,6.03
2021-12-13T18:00:00Z,5.825
2021-12-13T19:00:00Z,5.552
2021-12-13T20:00:00Z,NA
2021-12-13T21:00:00Z,NA
2021-12-13T22:00:00Z,5.346
2021-12-13T23:00:00Z,5.141
2021-12-14T00:00:00Z,4.968
2021-12-14T01:00:00Z,4.588
2021-12-14T02:00:00Z,4.137
2021-12-14T03:00:00Z,3.612
2021-12-14T04:00:00Z,2.943
2021-12-14T05:00:00Z,2.428
2021-12-14T06:00:00Z,1.962
2021-12-14T07:00:00Z,1.872
2021-12-14T08:00:00Z,2.141
2021-12-14T09:00:00Z,2.659
2021-12-14T10:00:00Z,3.471
2021-12-14T11:00:00Z,4.933
2021-12-14T12:00:00Z,5.722
2021-12-14T13:00:00Z,6.606
2021-12-14T14:00:00Z,5.672
2021-12-14T15:00:00Z,4.968
2021-12-14T16:00:00Z,4.38
2021-12-14T17:00:00Z,3.875
2021-12-14T18:00:00Z,3.542
2021-12-14T19:00:00Z,3.367
2021-12-14T20:00:00Z,3.173
2021-12-14T21:00:00Z,2.908
2021-12-14T22:00:00Z,2.925
2021-12-14T23:00:00Z,2.943
2021-12-15T00:00:00Z,3.049
2021-12-15T01:00:00Z,3.226
2021-12-15T02:00:00Z,3.332
2021-12-15T03:00:00Z,3.472
2021-12-15T04:00:00Z,3.578
2021-12-15T05:00:00Z,NA
2021-12-15T06:00:00Z,3.683
2021-12-15T07:00:00Z,NA
2021-12-15T08:00:00Z,3.788
2021-12-15T09:00:00Z,3.928
2021-12-15T10:00:00Z,4.241
2021-12-15T11:00:00Z,4.813
2021-12-15T12:00:00Z,4.968
2021-12-15T13:00:00Z,4.934
2021-12-15T14:00:00Z,4.831
2021-12-15T15:00:00Z,NA
2021-12-15T16:00:00Z,4.64
2021-12-15T17:00:00Z,4.727
2021-12-15T18:00:00Z,NA
2021-12-15T19:00:00Z,NA
2021-12-15T20:00:00Z,NA
2021-12-15T21:00:00Z,NA
2021-12-15T22:00:00Z,4.415
2021-12-15T23:00:00Z,4.259
2021-12-16T00:00:00Z,NA
2021-12-16T01:00:00Z,4.033
2021-12-16T02:00:00Z,3.875
2021-12-16T03:00:00Z,3.753
2021-12-16T04:00:00Z,3.578
2021-12-16T05:00:00Z,3.261
2021-12-16T06:00:00Z,1.853
2021-12-16T07:00:00Z,1.764
2021-12-16T08:00:00Z,2.195
2021-12-16T09:00:00Z,2.659
2021-12-16T10:00:00Z,3.926
2021-12-16T11:00:00Z,4.934
2021-12-16T12:00:00Z,5.484
2021-12-16T13:00:00Z,5.757
2021-12-16T14:00:00Z,5.843
2021-12-16T15:00:00Z,5.689
2021-12-16T16:00:00Z,5.244
2021-12-16T17:00:00Z,4.276
2021-12-16T18:00:00Z,3.735
2021-12-16T19:00:00Z,3.084
2021-12-16T20:00:00Z,2.392
2021-12-16T21:00:00Z,1.908
2021-12-16T22:00:00Z,1.547
2021-12-16T23:00:00Z,1.239
2021-12-17T00:00:00Z,0.802
2021-12-17T01:00:00Z,1.057
2021-12-17T02:00:00Z,1.71
2021-12-17T03:00:00Z,1.13
2021-12-17T04:00:00Z,0.893
2021-12-17T05:00:00Z,0.361
2021-12-17T06:00:00Z,-0.158
2021-12-17T07:00:00Z,-0.437
2021-12-17T08:00:00Z,-0.568
2021-12-17T09:00:00Z,-0.066
2021-12-17T10:00:00Z,1.13
2021-12-17T11:00:00Z,2.123
2021-12-17T12:00:00Z,3.19
2021-12-17T13:00:00Z,3.595
2021-12-17T14:00:00Z,4.032
2021-12-17T15:00:00Z,3.155
2021-12-17T16:00:00Z,2.284
